id,Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Number of Articles,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active
139,WiredIn,https://www.crunchbase.com/organization/wiredin,,"Information Technology, Software, Web Design, Web Development","Kigali, Butare, Rwanda","WiredIn is an information technology company that provides software development, web designing, and website development services.",1341224,6000000,Active,01/01/2014,,"Design, Information Technology, Software",2,"Alain Kajangwe, Hidekazu Tanaka",30,,,,,,24,,,,,,,,,,,,,,,,,,,
140,SONARWA General,https://www.crunchbase.com/organization/sonarwa-general,"SONARWA General is an insurance company. They provide motor, fire, aviation, marine, miscellaneous, livestock, vehicle, car, aircraft, engineering, contractors, risk management, personal, public, protect liability, and estate comprehensive services.","Commercial Insurance, Insurance, Property Insurance, Risk Management","Nyarugenge, Kigali, Rwanda","SONARWA General is an insurance company that provides risk management, liabilities, and aircraft insurance.",1359335,,Active,01/01/1975,,"Financial Services, Professional Services",,,75,,,,,,6,,,,,,,,,,,,,,,,,,,
141,Academic Bridge,https://www.crunchbase.com/organization/academic-bridge,"Academic Bridge they provide schools with the tools to collect, process, and manage data, share information, and enable data-based decision making in their education system.","Education, Information Services, Service Industry, Software","Kigali, Butare, Rwanda",Academic Bridge Provides Software For Education.,1367298,6000000,Active,01/01/2014,1,"Education, Information Technology, Other, Software",1,Mariam Muganga,30,1,,,,1,2,,,,,,,,,,,,,,,,1,,,
142,Store2Door,https://www.crunchbase.com/organization/store2door,Store2Door is an e-commerce startup that bridges the gap between farmers and consumers by allowing them to sell and list their harvest products on the website.,"Consumer Goods, E-Commerce, Farming","Nyarugenge, Kigali, Rwanda",Store2Door is an e-commerce startup that bridges the gap between farmers and consumers by allowing them to sell and list their products.,1401281,6000000,Active,,,"Agriculture and Farming, Commerce and Shopping, Consumer Goods",,,,1,,,1,1,7,,,,"1,321",,,90,,7,,0%,,6011459,,,,,,
143,JALI Finance,https://www.crunchbase.com/organization/jali-finance,JALI Finance is a financial institution that promotes impactful consumption through the financing of environmental products and revenue-generating assets that are made in Africa. The company focuses on financing the neediest individuals and enterprises that were previously considered as non-bankable.,"Consumer Lending, Finance, Financial Services, Lending","Kigali, Butare, Rwanda",JALI Finance is a financial institution which provides collateral-free financing products for the purchase of revenue generating assets.,1414731,,Active,,,"Financial Services, Lending and Investments",1,Felix Nkundimana,,,,,,,3,,,,,,,,,,,,,,,,,,,
144,AOS,https://www.crunchbase.com/organization/aos-057f,,"Cloud Infrastructure, Consulting, Information and Communications Technology (ICT)","Kigali, Butare, Rwanda","AOS is an information and communication technology company that offers system integration, cloud-based services, and support solutions.",1421163,6000000,Active,01/01/2014,,"Hardware, Information Technology, Internet Services, Professional Services",,,30,,,,,,10,,,,106,394.5,-78.05%,511,114.71%,6.37,366.72%,38.36%,-57.80%,9218823,1264213,15.89%,56,,,12
145,AfricanCrypto.com,https://www.crunchbase.com/organization/africancrypto-com,,"Blockchain, Cryptocurrency","Kigali, Butare, Rwanda",A hub for data and analysis at the intersection of Web3 x Africa,1435571,,Active,04/10/2021,,"Financial Services, Other, Payments, Software",1,Shaun Musuka,5,,,,,,,,,,"2,620",,,0,,1,,100%,,4239508,,,,,,
146,Rwaza Hydro Power,https://www.crunchbase.com/organization/rwaza-hydro-power,Rwaza Hydro Power is owns and operates hydro power plant in Rwanda. It is developing a 2.6MW run-of-river hydro power plant.,"Power Grid, Renewable Energy","Ruhengeri, Gitarama, Rwanda",Rwaza Hydro Power is owns and operates hydro power plant in Rwanda.,1439822,,Active,01/02/2016,,"Energy, Sustainability",,,375,1,,,1,1,3,,,,,,,,,,,,,,,,,,,
147,Bourbon Coffee,https://www.crunchbase.com/organization/bourbon-coffee,"Bourbon Coffee provides brewery services. They provide promoting sustainable practices, economic development, and cultural unity. They provide inquiries through online applications, email, and phone calls.","Brewing, Coffee, Food and Beverage","Kigali, Butare, Rwanda",Bourbon Coffee is a coffee shop.,1446480,6000000,Active,,,Food and Beverage,,,5,,,,,,12,,,,,,,,,,,,,,,,5,,,
148,IHIRWE MEDIA Group,https://www.crunchbase.com/organization/ihirwe-media-group,,"Advertising, Information Technology","Kigali, Butare, Rwanda","IHIRWE MEDIA Group is a digital marketing agency based in Africa .include media , graphic design, information technology and so on.",1446614,,Active,,,"Advertising, Information Technology, Sales and Marketing",,,,,,,,,3,,,,,,,,,,,,,,,,,,,
149,Entreprenarium,https://www.crunchbase.com/organization/entreprenarium,"the first pan-African philanthropic accelerator that helps entrepreneurs start and sustain innovative businesses to drive Africa’s prosperity! Our purpose finds expression through our 5 values: Commitment, Excellence, Integrity, Service and Respect.","Asset Management, Business Development","Kigali, Butare, Rwanda",Entreprenarium is a pan-African philanthropic accelerator that helps entrepreneurs start and sustain innovative businesses.,1493453,,Closed,01/01/2014,,"Financial Services, Professional Services",,,,,,,,,,,,,,,,,,,,,,,,,19,,,
150,Crane Bank Rwanda,https://www.crunchbase.com/organization/crane-bank-rwanda,"Crane Bank Rwanda is a commercial bank in Rwanda. Crane Bank Rwanda is a 100% subsidiary of Crane Bank, the 3rd largest commercial bank in Uganda, the largest indigenous commercial bank in the country, with approximately US$620 million in total assets at December 2014.",Financial Services,"Kigali, Butare, Rwanda",Crane Bank Rwanda is a commercial bank in Rwanda.,1497404,,Closed,01/01/2014,1,Financial Services,,,375,,,,,,3,"Finance, Information Technology, Marketing, Operations, Sales",54,,,,,,,,,,,,,,3,,,
151,The Click,https://www.crunchbase.com/organization/the-click,"The Click provides integrated solutions, and products in the area of information and communication technologies. Recently they were officially registered after they spent many years learning how to provide better solutions in IT, Web and Graphic Design. Services include web designing & development, desktop & mobile apps, web hosting, domain registration, and other IT services.","Apps, Software, Web Design, Web Development, Web Hosting","Kigali, Butare, Rwanda","The Click provides web hosting, web designing, and IT solutions.",1505519,500000,Active,01/01/2011,,"Apps, Design, Internet Services, Software",,,30,,,,,,6,,,,,,,,,,,,,,,,15,,,
152,Sobol,https://www.crunchbase.com/organization/sobol-0150,"Sobol informs knowledge, empowers ownership, contributes to communities, innovates, reshapes, and masters properties. It revolutionizes real estate, directs owners, facilitates transactions, and invents and rediscovers properties.","Commercial Real Estate, Home Renovation, Real Estate","Rwamagana, Kibungo, Rwanda","Sobol is a real estate company that designs, builds, or renovates property.",1525743,6000000,Active,01/01/2020,,Real Estate,,,30,,,,,,3,,,,,,,,,,,,,,,,,,,
153,Mubuga Bio Coffee,https://www.crunchbase.com/organization/mubuga-bio-coffee,"Mubuga bio Coffee company is a Rwandan bio coffee production company that is investing in organic or bio coffee to improve the livelihood of the local population while uplifting the Sector of Mubuga, commonly known by the negative effects of the genocide against the Tutsi in 1994.","Agriculture, Coffee","Nyarugenge, Kigali, Rwanda",Bio-Coffee production company,1529449,,Active,01/11/2018,,"Agriculture and Farming, Food and Beverage",,,175,,,,,,2,,,,,,,,,,,,,,,,12,,,
154,Resonate Workshops,https://www.crunchbase.com/organization/resonate-workshops,Resonate builds the capacity of impact groups focused on women’s skill building and education and offers a customized Storytelling for Leadership training to complement existing programs.,"Communities, Consulting, Non Profit","Kigali, Butare, Rwanda",Resonate uses storytelling as a tool to train women and girls in East Africa to build self-confidence and unlock leadership potential.,1541406,500000,Active,01/01/2013,,"Community and Lifestyle, Other, Professional Services",1,Ayla Schlosser,30,1,,,,1,,Operations,1,,,,,,,,,,,,,,23,,,
155,ZACU ENTERTAINMENT,https://www.crunchbase.com/organization/zacu-entertainment,ZACU ENTERTAINMENT offers production and distribution of content in Rwanda.,"Audio, TV, Video","Mont Kigali, Kigali, Rwanda",ZACU ENTERTAINMENT offers production and distribution of content in Rwanda.,1554798,,Active,01/01/2018,,"Media and Entertainment, Music and Audio, Video",,,,,,,,,5,,,,,,,,,,,,,,,,,,,
156,CIMERWA,https://www.crunchbase.com/organization/cimerwa,,"Building Material, Construction, Manufacturing","Kigali, Butare, Rwanda",CIMERWA is a producer and supplier of cement and building material products for the construction industries.,1557840,6000000,Active,01/01/1984,,"Manufacturing, Real Estate",,,10001,,,,,,5,,,,,,,,,,,,,,,,8,,,
157,Rwanda Online,https://www.crunchbase.com/organization/rwanda-online,Rwanda Online provides Rwandan citizens and businesses an improved interaction with the government.,"Developer Platform, Government, Online Portals","Kigali, Butare, Rwanda",Rwanda Online provides Rwandan citizens and businesses an improved interaction with the government.,1569711,,Active,,,"Government and Military, Internet Services, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Karisimbi Business Partners,https://www.crunchbase.com/organization/karisimbi-business-partners,,"Consulting, Management Consulting","Kigali, Butare, Rwanda","Karisimbi Business Partners is a management consulting, operational management, & investment services firm focused on mid-market enterprise.",1589177,6000000,Active,01/01/2009,,Professional Services,,,30,,,,,,3,Management,1,,,,,,,,,,,,,,34,,,
159,Golden Cat,https://www.crunchbase.com/organization/golden-cat,"Golden Cat is a producer and exporter of fresh fruits and vegetables. The company guarantees the highest quality fruits and vegetables, meeting all the EU food safety requirements, with every product traceable back to the individual farm in Rwanda.","Consumer Goods, Food and Beverage, Organic","Kigali, Butare, Rwanda",Golden Cat is a producer and exporter of fresh fruits and vegetables.,1597832,,Active,01/01/2013,,"Consumer Goods, Food and Beverage, Sustainability",,,,1,,,,1,11,,,,,,,,,,,,,,,,,,,
160,Prime Insurance,https://www.crunchbase.com/organization/prime-insurance,"Prime Insurance is an insurance firm. They provide travel, accident, property, fire, motor, money, general liability, management team, shareholders, marine cargo, pension, funeral, accident, engineering, medical, and general insurance services.","Auto Insurance, Commercial Insurance, Insurance, Life Insurance, Property Insurance","Kigali, Butare, Rwanda","Prime Insurance provides life, property, and commercial insurance services.",1603818,6000000,Active,01/01/1995,,Financial Services,,,75,,,,,,12,,,,,,,,,,,,,,,,,,,
161,Haute Baso,https://www.crunchbase.com/organization/haute-baso,"Haute Baso is an ethical fashion brand which designs and produces high quality African-inspired fashion, servicing the global market with innovative jewelry, bags, and apparel drawn from Rwanda’s vibrant culture and history.","Fashion, Lifestyle, Women's","Kigali, Butare, Rwanda",Haute Baso is a fashion boutique platform that offers fashion apparel for women.,1616646,,Active,01/03/2014,,"Clothing and Apparel, Community and Lifestyle, Design",1,Linda Mukangoga,5,1,,,,1,4,,,,,,,,,,,,,,,,12,,,
162,Ujenge Group,https://www.crunchbase.com/organization/ujenge-group,,"Architecture, Civil Engineering, Real Estate","Kicukiro, Kigali, Rwanda",Ujenge Group is a contractor and construction management company.,1629856,6000000,Active,01/01/2008,,"Real Estate, Science and Engineering",,,5,,,,,,5,,,,,,,,,,,,,,,,6,,,
163,Carnegie Mellon University Africa - Industry Innovation Lab,https://www.crunchbase.com/organization/carnegie-mellon-university-africa-industry-innovation-lab,"Carnegie Mellon University Africa (CMU-Africa) Industry Innovation Lab (IIL) works with industry partners, 4th Industrial Revolution Technologies, and CMU's global community of faculty, staff, alumni and students. We seek to develop new innovations that result in new products, services, joint ventures, spin-offs, as well as new startup companies. We accept entrants to the IIL on a rolling basis depending on resources and space available. Organizations and corporations can sponsor an Industry Innovation Lab project by submitting a request.",,"Kigali, Butare, Rwanda",A next generation venture and startup studio for new technology-enabled enterprise products in Africa from CMU-Africa,1629909,,Active,01/11/2019,1,,1,David Ross,,,,,,,,,,,,,,,,,,,,,,,13,,,
164,Rocket 2020,https://www.crunchbase.com/organization/rocket-2020,Rocket 2020 is a Rwanda-based company delivering innovative technology solutions to facilitate commerce.,"Business Development, E-Commerce, Information Technology","Kigali, Butare, Rwanda",Rocket 2020 delivers innovative technology solutions to facilitate commerce in Rwanda.,1662212,,Active,,,"Commerce and Shopping, Information Technology, Professional Services",,,,1,,,,1,3,,,,,,,,,,,,,,,,,,,
165,eMall Rwanda,https://www.crunchbase.com/organization/emall-rwanda,,"E-Commerce, Shopping","Kigali, Butare, Rwanda",eMall Rwanda is an online shop in Rwanda.,1690278,,Active,01/01/2019,,Commerce and Shopping,,,30,1,,,,1,3,,,,,,,,,,,,,,,,12,,,
166,Raisin,https://www.crunchbase.com/organization/raisin-3f80,,,"Kigali, Butare, Rwanda",Raisin ltd,1698606,,Active,01/01/2018,,,,,5,1,,,,1,,,,,,,,,,,,,,,,,7,,,
167,Kumwe Freight,https://www.crunchbase.com/organization/kumwe-freight,"Kumwe Freight, also known as Kumwe Freight, is a freight brokerage company that focuses on lowering the cost of transportation in East Africa. It uses an online marketplace to connect shippers and truck owners—and gives the truck owners smartphones to make it happen.","Freight Service, Logistics, Transportation","Kigali, Butare, Rwanda",Kumwe Freight is a freight brokerage company that focuses on lowering the cost of transportation in East Africa.,1701433,,Active,01/01/2017,,Transportation,1,Cyril Khamsi,30,,,,,,4,,,,,,,,,,,,,,,,22,,,7
168,Maico,https://www.crunchbase.com/organization/maico,"Maico service are security systems, computer networking, and electrical systems.","Consumer Electronics, Delivery, Information Technology, Logistics","Kigali, Butare, Rwanda",Maico is a supplier of consumer electronics.,1715927,6000000,Active,,,"Administrative Services, Consumer Electronics, Hardware, Information Technology, Transportation",,,30,,,,,,4,,,,,,,,,,,,,,,,,,,
169,Catchyz,https://www.crunchbase.com/organization/catchyz,"Catchyz enables users to advertise their business, services, jobs, events, products, and items.","Advertising, E-Commerce, Internet, Mobile Apps","Kigali, Butare, Rwanda",Catchyz is an online classified platform.,1717989,,Active,01/01/2019,,"Advertising, Apps, Commerce and Shopping, Internet Services, Mobile, Sales and Marketing, Software",,,75,,,,,,5,,,,384,,1063.64%,"2,025",,5.33,433.33%,0%,,8056131,-1494707,-15.65%,26,,,
170,Ingabo Plant Health,https://www.crunchbase.com/organization/ingabo-plant-health,"Ingabo Plant Health is a social enterprise that provides solutions for Rwandan farmer to reduce crop losses, increase crop yields and increase their household incomes. We currently operate in the North-western the region of Rwanda in Musanze, Rubavu and Nyabihu districts.","Enterprise, Social","Kigali, Butare, Rwanda","Ingabo Plant Health is a social enterprise that provides solutions for Rwandan farmer to reduce crop losses, increase crop yields.",1739988,,Active,,,"Community and Lifestyle, Other",,,,,,,,,2,,,,,,,,,,,,,,,,14,,,
171,the Einstein,https://www.crunchbase.com/organization/the-einstein,,Education,"Mont Kigali, Kigali, Rwanda",Ed Tech company that connects philanthropic dollars to the right student target & needs in Africa by transparently bypassing bureaucracy,1749549,500000,Active,04/12/2017,,Education,2,"Basileal Imana, Dieudonne Irankunda",5,,,,,,,,,,,,,,,,,,,,,,21,,,
172,Bizoneer,https://www.crunchbase.com/organization/bizoneer,,"Cyber Security, Digital Marketing, Information Technology, Web Development","Kigali, Butare, Rwanda","Bizoneer offers cyber security, digital marketing, web development consultancy, and training services.",1766016,30000000,Active,01/01/2012,,"Information Technology, Privacy and Security, Sales and Marketing, Software",,,5,,,,,,7,,,,,,,,,,,,,,,,9,,,
173,Water and Sanitation Corporation,https://www.crunchbase.com/organization/water-and-sanitation-corporation,,"Waste Management, Water, Water Purification","Kigali, Butare, Rwanda",Water and Sanitation Corporation provides fresh and pure water in the country.,1807703,6000000,Active,01/01/1976,,"Natural Resources, Sustainability",,,175,,,,,,3,,,,,,,,,,,,,,,,,,,
174,Hexakomb,https://www.crunchbase.com/organization/hexakomb,,"Apps, Consulting, Software","Kigali, Butare, Rwanda","Hexakomb is an IT company that provides software development, app, event management system, and consulting services for various businesses.",1808927,,Active,,,"Apps, Professional Services, Software",,,5,,,,,,6,,,,,,,,,,,,,,,,,,,
175,RSwitch,https://www.crunchbase.com/organization/rswitch,,"Financial Services, Payments, Technical Support","Kigali, Butare, Rwanda",RSwitch is an e-payment switch that provides a financial services ecosystem by delivering interoperable solutions.,1822045,,Active,01/01/2003,2,"Financial Services, Information Technology, Other, Payments",,,30,,,,,,3,Operations,2,,56,,,0,,1,,100%,,9394861,,,1,,,
176,Twaza Logistics,https://www.crunchbase.com/organization/twaza-logistics,We are a last-mile delivery company that connects businesses and individuals with a technology and a fleet to enable them to access a transparent and fast delivery around Rwanda and soon in all east africa.,"Courier Service, Freight Service, Logistics, Peer to Peer, Transportation","Kicukiro, Kigali, Rwanda",We are a last-mile delivery company that connects businesses and individuals with a technology and a fleet.,1826228,,Closed,05/04/2017,,"Administrative Services, Other, Transportation",,,5,,,,,,3,,,,,,,,,,,,,,,,1,,,
177,Illume Creative Studio,https://www.crunchbase.com/organization/illume-creative-studio,"Illume Creative Studio is a communications agency that provides designing concepts and developing and marketing content for individuals, organizations, and businesses. Their services include creative consulting, digital marketing, public relations, strategy development, copywriting, design, branding, photography, and video production.","Consulting, Digital Marketing, Photography, Public Relations, Video","Mont Kigali, Kigali, Rwanda","Illume Creative Studio provides creative consulting, digital marketing, and public relations.",1836819,6000000,Active,01/01/2010,,"Content and Publishing, Media and Entertainment, Professional Services, Sales and Marketing, Video",,,5,,,,,,6,,,,,,,,,,,,,,,,,,,
178,O'Genius Panda,https://www.crunchbase.com/organization/o-genius-panda,,"E-Learning, Education","Kicukiro, Kigali, Rwanda",O'Genius Panda provides wide variety of learning options to make learners much more competitive.,1846953,,Active,01/01/2015,,"Education, Software",,,5,,,,,,3,,,,,,,,,,,,,,,,24,,,
179,PayingTone,https://www.crunchbase.com/organization/payingtone,PayingTone is a marketplace that provides trackable products and services in monthly installments. The company is on a mission to develop and offer financial products to unlock more retail access across Africa.,"Consumer Lending, Credit, Lending, Marketplace","Kigali, Butare, Rwanda",PayingTone is a marketplace that provides trackable products and services in monthly installments.,1912855,,Active,,,"Commerce and Shopping, Financial Services, Lending and Investments",2,"Brenda Munezero, Ignace Turatsinze",5,,,,,,4,,,,28,,,0,,1,,100%,,9491401,,,,,,
180,Zillionizer,https://www.crunchbase.com/organization/zillionizer,,"Information Technology, Professional Services, Service Industry","Kigali, Butare, Rwanda",Zillionizer is a mobile value-added service and content provider through VAS platforms across mobile media platforms.,1917769,6000000,Active,,,"Information Technology, Other",,,,,,,,,4,,,,,,,,,,,,,,,,14,,,
181,Aquasafi,https://www.crunchbase.com/organization/aquasafi,,"Water, Water Purification","Kigali, Butare, Rwanda",Aquasafi is a startup company that monitors water quality.,1930163,,Active,01/01/2019,,"Natural Resources, Sustainability",,,5,2,,,1,2,3,,,,,,,,,,,,,,,,2,,,
182,Workers Affordable Properties,https://www.crunchbase.com/organization/workers-affordable-properties,,"Property Development, Real Estate, Real Estate Investment","Kigali, Butare, Rwanda",Workers Affordable Properties is a real estate company that provides property development and investment services.,1944573,6000000,Active,01/01/2017,,"Financial Services, Real Estate",,,750,,,,,,26,,,,,,,,,,,,,,,,,,,
183,DC Frontier Energy,https://www.crunchbase.com/organization/dc-frontier-energy,DC Frontier Energy is a project company focussed on developing and implementing hydropower projects.,"Energy, Renewable Energy, Solar","Kigali, Butare, Rwanda",DC Frontier Energy is a project company focussed on developing and implementing hydropower projects.,1973040,,Active,01/01/2011,,"Energy, Natural Resources, Sustainability",,,30,1,,,1,1,7,,,,,,,,,,,,,,,,,,,
184,Codeck,https://www.crunchbase.com/organization/codeck,,"EdTech, Education","Kigali, Butare, Rwanda",Codeck is a practical coding platform that teaches children to code.,1977067,,Active,01/01/2019,,"Education, Software",,,5,1,,,,1,4,,,,,,,,,,,,,,,,4,,,
185,Evolve,https://www.crunchbase.com/organization/evolve-853b,,"Consulting, Digital Marketing, Web Development","Kigali, Butare, Rwanda","Evolve is a digital transformation agency specializing in content creation, digital transformation consultancy, and web portal development.",1987506,6000000,Active,01/01/2014,,"Professional Services, Sales and Marketing, Software",,,5,,,,,,10,,,,,,,,,,,,,,,,,,,12
186,iTECH CONSULT,https://www.crunchbase.com/organization/itech-consult,"iTECH CONSULT is an IT, Telecommunication consulting company in Rwanda.","Consulting, Information and Communications Technology (ICT), Web Design","Kigali, Butare, Rwanda","ICT, compliances, Telecommunication, con",1999994,500000,Active,01/01/2011,,"Design, Information Technology, Professional Services",,,5,,,,,,2,,,,,,,,,,,,,,,,17,,,5
187,Shekina Enterprise,https://www.crunchbase.com/organization/shekina-enterprise,Shekina Enterprise is an agro-processing platform.,"Agriculture, Green Consumer Goods","Kigali, Butare, Rwanda",Shekina Enterprise is an agro-processing platform.,2010285,,Active,,,"Agriculture and Farming, Consumer Goods, Sustainability",1,MBATEZIMANA Pierre Damien,30,1,,,,1,,,,,,,,,,,,,,,,,1,,,
188,WOWE Agro-Solutions Africa,https://www.crunchbase.com/organization/wowe-agro-solutions-africa,"WOWE Agro-Solutions Africa is an agricultural firm that aims to empower smallholder farmers with knowledge, technology, and access markets.","Agriculture, AgTech, Farming","Kicukiro, Kigali, Rwanda","WOWE Agro-Solutions Africa is an agricultural firm that aims to empower smallholder farmers with knowledge, technology, and access markets.",2012546,,Active,01/01/2020,,Agriculture and Farming,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,
189,AFNOV,https://www.crunchbase.com/organization/afnov,"AFNOV is a software development company that designs and develops e-government platforms and mobile apps; and offers IT consultancy services. The company is based in Kigali, Rwanda.",Software,"Kigali, Butare, Rwanda","AFNOV, a software development company, designs and develops e-government platforms and mobile apps; and offers IT consultancy services.",2015204,,Closed,,,Software,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
190,Icarus,https://www.crunchbase.com/organization/icarus-2a1e,,"Consumer Applications, Consumer Lending, Financial Services, Lending","Kigali, Butare, Rwanda",Icarus is an application developer that offers group contributed lending services focused on raising funds towards common goals.,2022467,,Active,01/01/2016,,"Apps, Financial Services, Lending and Investments, Software",,,5,,,,,,2,,,,,,,,,,,,,,,,,,,
191,ALCPA,https://www.crunchbase.com/organization/alcpa,"ALCPA is an audit and advisory firm comprising of highly-trained qualified experts providing professional services on audit, tax, accounting, assurance, and advisory.","Accounting, Finance, Financial Services","Kigali, Butare, Rwanda","ALCPA is an audit and advisory firm that provides professional services on audit, tax, accounting, assurance, and advisory.",2074426,,Active,,,"Financial Services, Professional Services",,,30,,,,,,3,,,,,,,,,,,,,,,,8,,,
192,Mado & Karoli,https://www.crunchbase.com/organization/mado-karoli,"Mado & Karoli provides innovative solutions that inform their approach to stakeholders and the community in terms of culture, the environment, and sustainability. They consider culture, ecology, and community designing, constructing, and managing spaces.","Property Management, Real Estate, Rental","Kigali, Butare, Rwanda",Mado & Karoli is a real estate development and management firm.,2101439,,Active,,,"Commerce and Shopping, Real Estate",,,5,,,,,,4,,,,,,,,,,,,,,,,2,,,
193,Davis College,https://www.crunchbase.com/organization/davis-college,"Davis College is an educational institution company. They have designed a unique academic, staffing, and instructional model that is affordable, market-relevant, and effectively prepares students to drive innovation in the changing world of work. It is a unique hybrid of a liberal arts education with applied and technical curricula, combining competency-based academic programs with a customized, data-driven learning model, and more.","Education, Higher Education, Training","Kigali, Butare, Rwanda",Davis College is an educational institution.,2129632,,Active,01/01/2019,,Education,,,175,,,,,,11,Operations,2,,,,,,,,,,,,,,32,,,
194,MOILLA Ltd,https://www.crunchbase.com/organization/gocook,MOILLA ltd is a Rwandan Company that connects people to on demand chefs that can cook for them anytime anywhere through an online platform. Our goal is to help people to eat healthy homemade meals at their comfort and to create an environment that is friendly to to people with dietary needs and people with no cooking time or skills. MOILLA ltd receives commission from each transaction. We are the first to do this in Rwanda and this gives us the task to do whatever we can to achieve our goals and that's what we are focusing on.,"E-Commerce, Hospitality, Online Portals","Kigali, Butare, Rwanda",MOILLA Ltd (GoCook) is a website where different people and organizations requests chefs to cook for them on an occasional basis.,2141183,,Active,01/01/2019,,"Commerce and Shopping, Internet Services, Travel and Tourism",1,Yvonne Moilla Nyinawumuntu,5,2,,,,1,,,,,,,,,,,,,,,,,2,,,
195,FOYO Group,https://www.crunchbase.com/organization/foyo-group,FOYO Group is a Rwanda-based company that offers e-health and advertising solutions. It provides users with web and mobile based technologies to access information related to the healthcare industry.,"Advertising, CRM, Health Care, Information Technology, Marketing, Mobile","Kigali, Butare, Rwanda",FOYO Group is a Rwanda-based company that offers e-health and advertising solutions.,2153884,,Closed,,,"Advertising, Health Care, Information Technology, Mobile, Sales and Marketing, Software",,,,,,,,,,,,,,,,,,,,,,,,,1,,,
196,kt Rwanda Networks,https://www.crunchbase.com/organization/kt-rwanda-networks-09f7,,"Information Technology, Infrastructure, Network Security, Telecommunications","Kigali, Butare, Rwanda",KT Rwanda Networks is to install a wide-ranging high-speed broadband network and expand the nation's online services capacity.,2166114,30000000,Active,01/01/2013,,"Hardware, Information Technology, Other, Privacy and Security",,,375,,,,,,1,,,,,,,,,,,,,,,,,,,
197,Draggymedia,https://www.crunchbase.com/organization/draggy-group,"Draggy group is a company which is becoming the head of largest technology companies in Rwanda because of its products such as draggymedia.com draggy.rw and other which are about to come out  we have made it easy to our products .one product draggymedia.com is a website which gives out the hit of all international news while draggy.rw s asocial media also active in Rwanda thank you our vistors,","Media and Entertainment, News","Kigali, Butare, Rwanda",draggymedia company for the world media to connect people and inform more what's taking place world wide,2171920,,Active,02/01/2019,,"Content and Publishing, Media and Entertainment",1,Vumiriya Emile,5,,,,,,,,,,,,,,,,,,,,,,4,,,
198,Simbuka Technological Innovation,https://www.crunchbase.com/organization/simbuka-technological-innovation,"Simbuka is a Social Enterprise that offers Water, Sanitation, and Hygiene (WaSH) technologies and solutions for private sector investment and scalability by validating the technology and identifying an acceptable business model.","Renewable Energy, Water Purification","Kigali, Butare, Rwanda","Simbuka is a Social Enterprise that offers Water, Sanitation, and Hygiene technologies and solutions.",2178366,,Active,01/01/2019,,"Energy, Sustainability",,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Acts Of Gratitude,https://www.crunchbase.com/organization/acts-of-gratitude,,"Consulting, Education, Government, Non Profit","Kigali, Butare, Rwanda","Acts Of Gratitude provide skill development, co-working space, employment, and consultancy services for individuals and organizations.",2180480,,Active,01/01/2011,,"Education, Government and Military, Other, Professional Services",,,30,,,,,,4,,,,,,,,,,,,,,,,,,,
200,Uassy,https://www.crunchbase.com/organization/d-kayak,,,"Kigali, Butare, Rwanda",Uassy,2207663,,Active,30/04/2021,,,1,Ka Ka,5,,,,,,3,,,,,,,,,,,,,,,,1,,,
201,Urwego Bank,https://www.crunchbase.com/organization/urwego-bank,,"Banking, Finance, Financial Services","Kigali, Butare, Rwanda","Urwego Bank offers banking, loans, savings products, and services.",2213592,75000000,Active,01/01/1997,,"Financial Services, Lending and Investments",,,375,,,,,,5,Management,1,,11,,-99.09%,48,,2,100%,0%,,9573660,3305159,52.73%,,,,
202,KZ Noir,https://www.crunchbase.com/organization/kz-noir,First Coffee company to be Rainforest Alliance certified in Rwanda.  Currently pursuing a Fair Trade Certification.,Coffee,"Kigali, Butare, Rwanda",Leading exporter of Rwandan specialty coffee.,2233415,,Active,,,Food and Beverage,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
203,Yubeyi Online Shopping,https://www.crunchbase.com/organization/yubeyi-online-shopping,,"E-Commerce, Internet","Kigali, Butare, Rwanda",Yubeyi.com is an online shopping website dedicated to Rwandans who does not want to spend their time crossing all town looking for stuff,2237828,6000000,Active,14/05/2015,,"Commerce and Shopping, Internet Services",,,5,,,,,,1,,,,,,,,,,,,,,,,3,,,22
